,Kontrakt,Termin wygasania,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen (poprz. sesja),LOP (poprz. sesja),Zmiana LOP,Data
0,GVH25.F,mar 2025,50.04,50.04,50.04,50.04,+2.20%,0.0,1664.0,0.0,18 lut
1,GVJ25.F,kwi 2025,50.176,50.176,50.176,50.176,+2.35%,0.0,1031.0,0.0,18 lut
2,GVK25.F,maj 2025,50.135,50.135,50.135,50.135,+2.50%,0.0,971.0,0.0,18 lut
3,GVM25.F,cze 2025,50.193,50.193,50.193,50.193,+2.69%,0.0,1076.0,0.0,18 lut
4,GVN25.F,lip 2025,50.127,50.127,50.127,50.127,+2.74%,0.0,926.0,0.0,18 lut
5,GVQ25.F,sie 2025,50.085,50.085,50.085,50.085,+2.70%,0.0,926.0,0.0,18 lut
6,GVU25.F,wrz 2025,49.911,49.911,49.911,49.911,+2.51%,0.0,926.0,0.0,18 lut
7,GVV25.F,paź 2025,50.098,50.098,50.098,50.098,+2.19%,0.0,1551.0,0.0,18 lut
8,GVX25.F,lis 2025,48.229,48.229,48.229,48.229,+2.26%,0.0,1476.0,0.0,18 lut
9,GVZ25.F,gru 2025,47.534,47.534,47.534,47.534,+2.16%,0.0,1476.0,0.0,18 lut
10,GVF26.F,sty 2026,46.859,46.859,46.859,46.859,+1.76%,0.0,1021.0,0.0,18 lut
11,GVG26.F,lut 2026,47.287,47.287,47.287,47.287,+1.82%,0.0,1021.0,0.0,18 lut
12,GVH26.F,mar 2026,45.775,45.775,45.775,45.775,+1.80%,0.0,1021.0,0.0,18 lut
13,GVJ26.F,kwi 2026,39.727,39.727,39.727,39.727,+3.27%,0.0,575.0,0.0,18 lut
14,GVK26.F,maj 2026,38.363,38.363,38.363,38.363,+3.22%,0.0,575.0,0.0,18 lut
15,GVM26.F,cze 2026,38.103,38.103,38.103,38.103,+3.08%,0.0,575.0,0.0,18 lut
16,GVN26.F,lip 2026,37.789,37.789,37.789,37.789,+3.21%,0.0,575.0,0.0,18 lut
17,GVQ26.F,sie 2026,37.448,37.448,37.448,37.448,+3.25%,0.0,575.0,0.0,18 lut
18,GVU26.F,wrz 2026,37.473,37.473,37.473,37.473,+3.26%,0.0,575.0,0.0,18 lut
19,GVV26.F,paź 2026,38.827,38.827,38.827,38.827,+2.82%,0.0,500.0,0.0,18 lut
20,GVX26.F,lis 2026,38.334,38.334,38.334,38.334,+2.98%,0.0,500.0,0.0,18 lut
21,GVZ26.F,gru 2026,37.623,37.623,37.623,37.623,+3.04%,0.0,500.0,0.0,18 lut
22,GVF27.F,sty 2027,38.022,38.022,38.022,38.022,+3.93%,0.0,285.0,0.0,18 lut
23,GVG27.F,lut 2027,37.407,37.407,37.407,37.407,+4.02%,0.0,285.0,0.0,18 lut
24,GVH27.F,mar 2027,36.456,36.456,36.456,36.456,+4.13%,0.0,285.0,0.0,18 lut
25,GVJ27.F,kwi 2027,31.789,31.789,31.789,31.789,+3.83%,0.0,230.0,0.0,18 lut
26,GVK27.F,maj 2027,30.529,30.529,30.529,30.529,+4.01%,0.0,230.0,0.0,18 lut
27,GVM27.F,cze 2027,30.395,30.395,30.395,30.395,+4.03%,0.0,230.0,0.0,18 lut
28,GVN27.F,lip 2027,31.472,31.472,31.472,31.472,+4.36%,0.0,230.0,0.0,18 lut
29,GVQ27.F,sie 2027,31.417,31.417,31.417,31.417,+4.35%,0.0,230.0,0.0,18 lut
30,GVU27.F,wrz 2027,31.558,31.558,31.558,31.558,+4.37%,0.0,230.0,0.0,18 lut
31,GVV27.F,paź 2027,31.291,31.291,31.291,31.291,+3.37%,0.0,240.0,0.0,18 lut
32,GVX27.F,lis 2027,31.805,31.805,31.805,31.805,+3.31%,0.0,240.0,0.0,18 lut
33,GVZ27.F,gru 2027,32.035,32.035,32.035,32.035,+3.28%,0.0,240.0,0.0,18 lut
34,GVF28.F,sty 2028,32.966,32.966,32.966,32.966,+3.93%,0.0,50.0,0.0,18 lut
35,GVG28.F,lut 2028,32.694,32.694,32.694,32.694,+3.95%,0.0,50.0,0.0,18 lut
36,GVH28.F,mar 2028,31.007,31.007,31.007,31.007,+4.19%,0.0,50.0,0.0,18 lut
37,GVJ28.F,kwi 2028,27.769,27.769,27.769,27.769,+2.36%,0.0,40.0,0.0,18 lut
38,GVK28.F,maj 2028,27.025,27.025,27.025,27.025,+2.44%,0.0,40.0,0.0,18 lut
39,GVM28.F,cze 2028,27.062,27.062,27.062,27.062,+2.44%,0.0,40.0,0.0,18 lut
40,GVN28.F,lip 2028,27.061,27.061,27.061,27.061,+2.44%,0.0,40.0,0.0,18 lut
41,GVQ28.F,sie 2028,27.359,27.359,27.359,27.359,+2.41%,0.0,40.0,0.0,18 lut
42,GVU28.F,wrz 2028,27.481,27.481,27.481,27.481,+2.40%,0.0,40.0,0.0,18 lut
43,GVV28.F,paź 2028,27.415,27.415,27.415,27.415,+2.15%,0.0,190.0,0.0,18 lut
44,GVX28.F,lis 2028,27.721,27.721,27.721,27.721,+2.14%,0.0,190.0,0.0,18 lut
45,GVZ28.F,gru 2028,28.018,28.018,28.018,28.018,+2.12%,0.0,190.0,0.0,18 lut
46,GVF29.F,sty 2029,28.005,28.005,28.005,28.005,+2.58%,0.0,210.0,0.0,18 lut
47,GVG29.F,lut 2029,27.773,27.773,27.773,27.773,+2.62%,0.0,210.0,0.0,18 lut
48,GVH29.F,mar 2029,27.59,27.59,27.59,27.59,+2.66%,0.0,210.0,0.0,18 lut
49,GVJ29.F,kwi 2029,25.774,25.774,25.774,25.774,+1.19%,0.0,60.0,0.0,18 lut
50,GVK29.F,maj 2029,25.319,25.319,25.319,25.319,+1.21%,0.0,60.0,0.0,18 lut
51,GVM29.F,cze 2029,24.624,24.624,24.624,24.624,+1.24%,0.0,60.0,0.0,18 lut
52,GVN29.F,lip 2029,24.962,24.962,24.962,24.962,+1.22%,0.0,60.0,0.0,18 lut
53,GVQ29.F,sie 2029,24.347,24.347,24.347,24.347,+1.26%,0.0,60.0,0.0,18 lut
54,GVU29.F,wrz 2029,24.397,24.397,24.397,24.397,+1.27%,0.0,60.0,0.0,18 lut
55,GVV29.F,paź 2029,27.201,27.201,27.201,27.201,+1.14%,0.0,60.0,0.0,18 lut
