,Kontrakt,Termin wygasania,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen (poprz. sesja),LOP (poprz. sesja),Zmiana LOP,Data
0,GVH25.F,mar 2025,48.319,48.319,48.319,48.319,-1.57%,0.0,1664.0,0.0,20 lut
1,GVJ25.F,kwi 2025,48.481,48.481,48.481,48.481,-1.62%,0.0,1031.0,0.0,20 lut
2,GVK25.F,maj 2025,48.46,48.46,48.46,48.46,-1.61%,0.0,971.0,0.0,20 lut
3,GVM25.F,cze 2025,48.513,48.513,48.513,48.513,-1.58%,0.0,1076.0,0.0,20 lut
4,GVN25.F,lip 2025,48.481,48.481,48.481,48.481,-1.58%,0.0,926.0,0.0,20 lut
5,GVQ25.F,sie 2025,48.464,48.464,48.464,48.464,-1.59%,0.0,926.0,0.0,20 lut
6,GVU25.F,wrz 2025,48.348,48.348,48.348,48.348,-1.53%,0.0,926.0,0.0,20 lut
7,GVV25.F,paź 2025,48.717,48.717,48.717,48.717,-1.39%,0.0,1551.0,0.0,20 lut
8,GVX25.F,lis 2025,47.04,47.04,47.04,47.04,-1.10%,0.0,1476.0,0.0,20 lut
9,GVZ25.F,gru 2025,46.404,46.404,46.404,46.404,-1.14%,0.0,1476.0,0.0,20 lut
10,GVF26.F,sty 2026,45.81,45.81,45.81,45.81,-0.96%,0.0,1021.0,0.0,20 lut
11,GVG26.F,lut 2026,46.219,46.219,46.219,46.219,-0.93%,0.0,1021.0,0.0,20 lut
12,GVH26.F,mar 2026,44.657,44.657,44.657,44.657,-1.08%,0.0,1021.0,0.0,20 lut
13,GVJ26.F,kwi 2026,39.157,39.157,39.157,39.157,-0.10%,0.0,575.0,0.0,20 lut
14,GVK26.F,maj 2026,37.828,37.828,37.828,37.828,-0.02%,0.0,575.0,0.0,20 lut
15,GVM26.F,cze 2026,37.573,37.573,37.573,37.573,0.00%,0.0,575.0,0.0,20 lut
16,GVN26.F,lip 2026,37.349,37.349,37.349,37.349,+0.27%,0.0,575.0,0.0,20 lut
17,GVQ26.F,sie 2026,37.018,37.018,37.018,37.018,+0.28%,0.0,575.0,0.0,20 lut
